freq_hz,mean_db,p05_db,p95_db
3.9948801939541703,39.360151268179436,39.360140040765486,39.36016138966441
4.111829402435831,39.393635127070986,39.393623232685755,39.39364584982986
4.2322022723792765,39.42547961620883,39.42546701523116,39.42549097596013
4.356099030694608,39.45575376583262,39.45574041628779,39.455765800416714
4.483622838411908,39.484524784593994,39.48451064201384,39.48453753409902
4.614879876576938,39.51185799785131,39.51184301512617,39.51187150474673
4.7499794346614115,39.537816799649065,39.537800926870936,39.53783110892719
4.889034001561445,39.56246261738671,39.56244580168294,39.56247777671244
5.032159359259993,39.58585488817327,39.5858370735305,39.58587094804287
5.17947467923121,39.60805104587146,39.60803217294911,39.608068059780734
5.331102621667034,39.62910651785131,39.62908652378394,39.62912454247382
5.487169437608604,39.64907473049971,39.64905354868768,39.64909382587547
5.647805074067555,39.668007122566735,39.66798468245436,39.668027352302076
5.813143282224713,39.68595316546878,39.68592939230948,39.685974596948384
5.9833217287962865,39.702960389714626,39.70293520432191,39.702983094325724
6.158482110660264,39.719074416666196,39.71904773515,39.71909847003636
6.338770272838487,39.73433899489753,39.73431072838494,39.73436447714656
6.524336329932625,39.74879604046567,39.748766094804914,39.74882303647234
6.7153347911151435,39.76248568045812,39.7624539559051,39.76251428014282
6.911924688779366,39.775446299233,39.77541269011923,39.7754765978572
7.1142697109557345,39.78771458681757,39.78767898119822,39.78774668530087
7.322538337604533,39.799325588978334,39.79928786825967,39.79935959423469
7.53690398089854,39.81031275852397,39.810272797068436,39.810348783817524
7.757545129612417,39.82070800744453,39.82066567215248,39.82074617276674
7.984645497739087,39.83054175953387,39.830496909400466,39.83058219200299
8.218394177456801,39.839843003180604,39.83979548882644,39.83988583746492
8.458985796574302,39.84863934405042,39.84858900722428,39.848684722816564
8.706620680585127,39.8569570574161,39.85690373046819,39.85700513180398
8.961505019466045,39.86482113992395,39.8647646452478,39.8648720700498
9.223851039358475,39.872255360613536,39.87219551005494,39.87230931610296
9.493877179275827,39.87928231103541,39.879218905266164,39.87933947158792
9.771808272983904,39.885923454334694,39.885856282189295,39.885984010321856
10.057875736205835,39.892199173191074,39.89212801096397,39.89226332629013
10.352317759307383,39.89812881652554,39.898053427226706,39.898196780390485
10.655379505623053,39.903730744901566,39.90365087746795,39.90380274587419
10.967313315588179,39.909022374565154,39.90893776302542,39.90909865242825
11.28837891684689,39.91402022008203,39.91393058267158,39.914101028857154
11.618843640511002,39.91873993554231,39.918644973766064,39.91882554433506
11.958982643749794,39.92319635431546,39.92309575195483,39.92328704821062
12.309079138896024,39.927403527346236,39.92729694940744,39.92749960835622
12.669424629259064,39.93137475999238,39.93126185159232,39.93147654806186
13.040319151841308,39.93512264741129,39.93500303259735,39.935230481481305
13.422071527160119,39.93865910850911,39.938532389009126,39.93877334764432
13.814999616383224,39.941995418471464,39.941861172369485,39.942116443054154
14.219430585991669,39.94514223989899,39.94500002023276,39.94527045289394
14.635701180190798,39.9481096525752,39.94795898585041,39.94824548086937
15.064158001295928,39.95090718189632,39.95074756651294,39.95105107771796
15.505157798326245,39.953543825996064,39.95337473058149,39.953696268417914
15.95906776404731,39.95602808159951,39.9558489432431,39.95618957813103
16.426265840709313,39.95836796864225,39.95817819102514,39.95853905691596
16.9071410347358,39.96057105369105,39.960370005105574,39.96075230324892
17.40209374062485,39.96264447220396,39.962431483455745,39.96283648638944
17.91153607433231,39.96459494966729,39.96436931185331,39.96479836762927
18.435892216414878,39.96642882164714,39.966189783802356,39.966644320462514
18.975598765218503,39.96815205279308,39.96789881939789,39.96838034971472
19.53110510040632,39.9697702548304,39.96950198317102,39.97001210966834
20.102873757128854,39.97128870357821,39.971004500950876,39.97154492122129
20.69138081114789,39.972712355028015,39.97241127577818,39.97298378811469
21.29711627523478,39.97404586051803,39.973726902904595,39.974333412264876
21.920584507173256,39.975293581036155,39.97495568391092,39.975598208233585
22.56230462970634,39.97645960068501,39.976101639975994,39.97678231686968
23.222810962777245,39.97754773933953,39.97716852432696,39.977889618154016
23.902653468423917,39.97856156452741,39.97815983390032,39.97892374327813
24.602398208697764,39.97950440256144,39.97907882024172,39.97988808598627
25.322627816987946,39.980379348950606,39.97992849967137,39.98078581320867
26.063941983143486,39.981189278116524,39.9807116627401,39.98161987501302
26.826957952797244,39.98193685243962,39.981430883000165,39.98239301389932
