freq_hz,s11_re,s11_im,s21_re,s21_im,s21_db
450142500.0,-0.9994425612385981,-0.033266165823441544,-9.36728158902036e-05,0.002814288834145276,-51.00781788180762
450265000.0,-0.9994429617826631,-0.033254407179104856,-9.353069582925124e-05,0.0028110137448463302,-51.01793525151258
450387500.0,-0.999443361818249,-0.03324265886519271,-9.338886664532837e-05,0.0028077442064699913,-51.02804723554138
450510000.0,-0.9994437613463688,-0.03323092086492099,-9.324732757118461e-05,0.0028044802063135156,-51.0381538407075
450632500.0,-0.999444160368034,-0.03321919316154755,-9.31060778420859e-05,0.0028012217317113586,-51.048255073810516
450755000.0,-0.9994445588842508,-0.03320747573837186,-9.296511669580352e-05,0.002797968770035025,-51.058350941636206
450877500.0,-0.9994449568960247,-0.033195768578735095,-9.282444337260511e-05,0.0027947213086929484,-51.06844145095649
451000000.0,-0.9994453544043576,-0.03318407166601986,-9.268405711524447e-05,0.0027914793351303565,-51.07852660852955
451122500.0,-0.9994457514102478,-0.033172384983650036,-9.254395716895133e-05,0.002788242836829129,-51.088606421099804
451245000.0,-0.9994461479146929,-0.03316070851509079,-9.240414278142249e-05,0.002785011801307682,-51.09868089539802
451367500.0,-0.9994465439186851,-0.03314904224384825,-9.226461320281136e-05,0.002781786216120828,-51.10875003814124
451490000.0,-0.9994469394232158,-0.03313738615346949,-9.212536768571837e-05,0.0027785660688596416,-51.11881385603297
451612500.0,-0.9994473344292727,-0.03312574022754237,-9.198640548518163e-05,0.0027753513471513386,-51.12887235576308
451735000.0,-0.9994477289378406,-0.03311410444969537,-9.184772585866726e-05,0.002772142038659144,-51.13892554400789
451857500.0,-0.999448122949902,-0.03310247880359747,-9.17093280660594e-05,0.0027689381310821554,-51.14897342743027
451980000.0,-0.9994485164664368,-0.03309086327295803,-9.15712113696514e-05,0.0027657396121552277,-51.159016012679565
452102500.0,-0.9994489094884215,-0.03307925784152664,-9.143337503413598e-05,0.0027625464696488383,-51.16905330639172
452225000.0,-0.9994493020168301,-0.033067662493092995,-9.129581832659584e-05,0.0027593586913689603,-51.179085315189276
452347500.0,-0.9994496940526343,-0.03305607721148675,-9.115854051649423e-05,0.002756176265156935,-51.18911204568142
452470000.0,-0.9994500855968026,-0.0330445019805774,-9.102154087566573e-05,0.002752999178889347,-51.19913350446402
452592500.0,-0.9994504766503006,-0.03303293678427413,-9.088481867830713e-05,0.002749827420477904,-51.209149698119646
452715000.0,-0.9994508672140927,-0.03302138160652575,-9.074837320096783e-05,0.002746660977869303,-51.219160633217655
452837500.0,-0.9994512572891383,-0.03300983643132041,-9.061220372254084e-05,0.0027434998390451107,-51.22916631631416
452960000.0,-0.9994516468763959,-0.032998301242685664,-9.047630952425365e-05,0.002740343992021639,-51.239166753952134
453082500.0,-0.9994520359768204,-0.032986776024688184,-9.034068988965894e-05,0.00273719342484982,-51.24916195266137
453205000.0,-0.999452424591365,-0.03297526076143374,-9.020534410462588e-05,0.0027340481256150893,-51.259151918958594
453327500.0,-0.9994528127209792,-0.03296375543706699,-9.007027145733061e-05,0.0027309080824372534,-51.26913665934745
453450000.0,-0.9994532003666103,-0.03295226003577138,-8.993547123824753e-05,0.0027277732834703754,-51.27911618031859
453572500.0,-0.9994535875292032,-0.03294077454176906,-8.980094274014055e-05,0.002724643716902656,-51.2890904883496
453695000.0,-0.9994539742097001,-0.032929298939320686,-8.966668525805366e-05,0.0027215193709563016,-51.299059589905184
453817500.0,-0.9994543604090402,-0.03291783321272533,-8.953269808930238e-05,0.0027184002338874135,-51.309023491437074
453940000.0,-0.9994547461281602,-0.032906377346320334,-8.939898053346506e-05,0.002715286293985868,-51.318982199384145
454062500.0,-0.9994551313679951,-0.03289493132448124,-8.926553189237387e-05,0.0027121775395751928,-51.328935720172396
454185000.0,-0.9994555161294759,-0.03288349513162159,-8.913235147010607e-05,0.00270907395901245,-51.33888406021504
454307500.0,-0.9994559004135323,-0.032872068752192854,-8.899943857297552e-05,0.0027059755406881195,-51.348827225912466
454430000.0,-0.9994562842210901,-0.03286065217068424,-8.886679250952354e-05,0.002702882273025976,-51.35876522365237
454552500.0,-0.9994566675530744,-0.03284924537162273,-8.87344125905111e-05,0.002699794144482983,-51.368698059809674
454675000.0,-0.9994570504104057,-0.032837848339572685,-8.860229812890905e-05,0.0026967111435491574,-51.378625740746685
454797500.0,-0.9994574327940035,-0.03282646105913603,-8.847044843989099e-05,0.0026936332587474757,-51.38854827281303
454920000.0,-0.9994578147047843,-0.03281508351495189,-8.83388628408234e-05,0.002690560478633738,-51.39846566234575
455042500.0,-0.9994581961436617,-0.03280371569169658,-8.82075406512582e-05,0.0026874927917964675,-51.40837791566929
455165000.0,-0.9994585771115473,-0.03279235757408349,-8.807648119292374e-05,0.0026844301868567864,-51.41828503909555
455287500.0,-0.9994589576093501,-0.03278100914686294,-8.794568378971661e-05,0.002681372652468306,-51.428187038923966
455410000.0,-0.9994593376379763,-0.032769670394821995,-8.781514776769309e-05,0.002678320177317008,-51.43808392144149
455532500.0,-0.99945971719833,-0.032758341302784495,-8.768487245506136e-05,0.0026752727501211417,-51.44797569292259
455655000.0,-0.9994600962913127,-0.0327470218556108,-8.755485718217251e-05,0.002672230359631098,-51.45786235962938
455777500.0,-0.9994604749178235,-0.03273571203819773,-8.742510128151282e-05,0.0026691929946293064,-51.467743927811604
455900000.0,-0.999460853078759,-0.03272441183547846,-8.729560408769539e-05,0.0026661606439301183,-51.477620403706624
456022500.0,-0.9994612307750129,-0.03271312123242233,-8.716636493745177e-05,0.0026631332963796953,-51.48749179353956
456145000.0,-0.9994616080074773,-0.03270184021403484,-8.703738316962433e-05,0.0026601109408559043,-51.49735810352322
456267500.0,-0.9994619847770413,-0.032690568765357406,-8.690865812515744e-05,0.0026570935662681952,-51.507219339858175
456390000.0,-0.999462361084592,-0.03267930687146737,-8.678018914709015e-05,0.002654081161557503,-51.51707550873283
456512500.0,-0.9994627369310134,-0.032668054517477785,-8.66519755805479e-05,0.0026510737156961346,-51.526926616323365
456635000.0,-0.999463112317188,-0.03265681168853737,-8.652401677273416e-05,0.002648071217687651,-51.53677266879387
456757500.0,-0.9994634872439953,-0.0326455783698303,-8.639631207292302e-05,0.0026450736565667714,-51.546613672296296
456880000.0,-0.9994638617123123,-0.03263435454657621,-8.6268860832451e-05,0.0026420810213992553,-51.556449632970555
457002500.0,-0.9994642357230145,-0.03262314020403002,-8.614166240470916e-05,0.0026390933012817993,-51.566280556944484
457125000.0,-0.999464609276974,-0.032611935327481786,-8.60147161451355e-05,0.002636110485341931,-51.57610645033394
457247500.0,-0.9994649823750605,-0.032600739902256655,-8.588802141120677e-05,0.0026331325627378943,-51.585927319242785
457370000.0,-0.9994653550181429,-0.03258955391371475,-8.576157756243109e-05,0.0026301595226585536,-51.59574316976294
457492500.0,-0.9994657272070859,-0.03257837734725097,-8.563538396033986e-05,0.0026271913543232787,-51.605554007974426
457615000.0,-0.9994660989427527,-0.032567210188294976,-8.550943996848029e-05,0.0026242280469818426,-51.61535983994539
457737500.0,-0.9994664702260045,-0.03255605242231107,-8.538374495240771e-05,0.0026212695899143178,-51.62516067173211
457860000.0,-0.9994668410576995,-0.032544904034798,-8.525829827967795e-05,0.002618315972430973,-51.63495650937904
457982500.0,-0.999467211438694,-0.03253376501128894,-8.513309931983941e-05,0.002615367183872157,-51.6447473589189
458105000.0,-0.9994675813698419,-0.032522635337351335,-8.500814744442602e-05,0.002612423213608212,-51.654533226372614
458227500.0,-0.9994679508519946,-0.03251151499858682,-8.488344202694942e-05,0.0026094840510393585,-51.664314117749385
458350000.0,-0.9994683198860019,-0.03250040398063109,-8.475898244289131e-05,0.002606549685595593,-51.674090039046746
458472500.0,-0.9994686884727102,-0.032489302269153746,-8.463476806969632e-05,0.0026036201067365897,-51.68386099625059
458595000.0,-0.9994690566129647,-0.03247820984985832,-8.451079828676453e-05,0.0026006953039515997,-51.693626995335094
458717500.0,-0.9994694243076077,-0.032467126708482015,-8.438707247544371e-05,0.0025977752667593382,-51.703388042262965
458840000.0,-0.9994697915574796,-0.032456052830795695,-8.426359001902241e-05,0.0025948599847078974,-51.71314414298523
458962500.0,-0.9994701583634185,-0.032444988202603775,-8.414035030272235e-05,0.0025919494473746352,-51.72289530344145
459085000.0,-0.9994705247262596,-0.03243393280974401,-8.401735271369116e-05,0.002589043644366078,-51.732641529559665
459207500.0,-0.9994708906468373,-0.032422886638087525,-8.389459664099512e-05,0.00258614256531782,-51.742382827256435
459330000.0,-0.9994712561259825,-0.03241184967353868,-8.377208147561228e-05,0.002583246199894431,-51.752119202436866
459452500.0,-0.9994716211645243,-0.032400821902034846,-8.36498066104244e-05,0.0025803545377893387,-51.761850660994675
459575000.0,-0.9994719857632891,-0.03238980330954645,-8.352777144021072e-05,0.00257746756872475,-51.77157720881219
459697500.0,-0.9994723499231025,-0.0323787938820768,-8.340597536164009e-05,0.0025745852824515377,-51.78129885176038
459820000.0,-0.9994727136447864,-0.032367793605662,-8.328441777326459e-05,0.0025717076687491553,-51.791015595698894
459942500.0,-0.9994730769291617,-0.03235680246637081,-8.316309807551154e-05,0.0025688347174255242,-51.800727446476074
460065000.0,-0.999473439777046,-0.03234582045030461,-8.304201567067748e-05,0.0025659664183169534,-51.81043440992902
460187500.0,-0.9994738021892553,-0.03233484754359718,-8.292116996292008e-05,0.0025631027612880233,-51.82013649188362
